Designator,Mid X,Mid Y,Rotation,Layer
C101,134.25,-145.55,270.0,top
C102,124.25,-115.55,270.0,top
C103,114.85,-108.05,180.0,bottom
C104,119.25,-90.55,270.0,top
C105,106.85,-79.95,180.0,bottom
C106,94.25,-80.05,180.0,top
C107,81.85,-90.55,270.0,bottom
C108,86.25,-108.05,180.0,top
C109,76.85,-115.55,270.0,bottom
C110,79.25,-134.95,180.0,top
C111,66.85,-145.55,270.0,bottom
C112,130.1,-75.0,90.0,top
C113,142.5,-85.7,0.0,bottom
C114,140.1,-105.2,90.0,top
C115,149.5,-112.7,0.0,bottom
C116,145.1,-130.2,90.0,top
C117,157.5,-140.7,0.0,bottom
C118,170.2,-140.6,0.0,top
C119,182.5,-130.1,90.0,bottom
C120,178.2,-112.6,0.0,top
C121,187.5,-105.1,90.0,bottom
C122,185.1,-85.7,0.0,top
C123,197.5,-75.1,90.0,bottom
C124,115.65,-141.95,270.0,top
D101,138.55,-146.45,180.0,top
D102,128.55,-116.45,180.0,top
D103,116.55,-104.45,0.0,top
D104,123.55,-91.45,180.0,top
D105,108.55,-76.45,0.0,top
D106,92.55,-76.45,0.0,top
D107,77.55,-91.45,0.0,top
D108,84.55,-104.45,0.0,top
D109,72.55,-116.45,0.0,top
D110,77.55,-131.45,0.0,top
D111,62.55,-146.45,0.0,top
D112,62.55,-146.45,180.0,bottom
D113,77.55,-131.45,0.0,bottom
D114,72.55,-116.45,180.0,bottom
D115,84.55,-104.45,0.0,bottom
D116,77.55,-91.45,180.0,bottom
D117,92.55,-76.45,0.0,bottom
D118,108.55,-76.45,0.0,bottom
D119,123.55,-91.45,0.0,bottom
D120,116.55,-104.45,0.0,bottom
D121,128.55,-116.45,0.0,bottom
D122,138.55,-146.45,0.0,bottom
D123,125.8,-74.2,0.0,top
D124,140.8,-89.2,180.0,top
D125,135.8,-104.3,0.0,top
D126,147.8,-116.2,180.0,top
D127,140.8,-129.2,0.0,top
D128,155.8,-144.2,180.0,top
D129,171.8,-144.2,180.0,top
D130,186.8,-129.2,180.0,top
D131,179.8,-116.2,180.0,top
D132,191.8,-104.2,180.0,top
D133,186.8,-89.2,180.0,top
D134,201.8,-74.2,180.0,top
D135,201.8,-74.2,0.0,bottom
D136,186.8,-89.2,180.0,bottom
D137,191.8,-104.2,0.0,bottom
D138,179.8,-116.2,180.0,bottom
D139,186.8,-129.2,0.0,bottom
D140,171.8,-144.2,180.0,bottom
D141,155.8,-144.2,180.0,bottom
D142,140.8,-129.2,180.0,bottom
D143,147.8,-116.2,180.0,bottom
D144,135.8,-104.3,180.0,bottom
D145,140.8,-89.2,180.0,bottom
D146,125.8,-74.2,180.0,bottom
U101,117.6825,-139.45,180.0,top
